id,name,neighbourhood,room_type,property_type,bedrooms,bathrooms,accommodates,price,minimum_nights,number_of_reviews,review_scores_rating,availability_365,amenities_count,host_is_superhost
1727,Lovely Studio in Westminster,Westminster,Private room,Studio,3.0,1,6,146.88,1,118,4.5,311,8,f
1728,Lovely Apartment in Lambeth,Lambeth,Entire home/apt,House,4.0,1,8,237.41,2,9,3.5,217,8,f
1729,Lovely Cottage in Lambeth,Lambeth,Private room,House,1.0,1,2,109.97,3,266,4.5,365,5,f
1730,Lovely Cottage in Westminster,Westminster,Entire home/apt,Cottage,1.0,1,2,276.64,3,211,5.0,303,10,f
1731,Lovely House in Camden,Camden,Entire home/apt,Studio,1.0,2,2,241.19,1,57,4.7,85,4,f
1732,Lovely Cottage in Hackney,Hackney,Entire home/apt,Studio,2.0,2,4,101.53,7,92,3.7,85,10,t
1733,Lovely Townhouse in Westminster,Westminster,Entire home/apt,Studio,2.0,2,4,326.31,5,53,4.5,221,5,t
1734,Lovely Cottage in Hackney,Hackney,Entire home/apt,Villa,5.0,1,10,169.55,1,272,5.0,57,3,f
1735,Lovely Cottage in Camden,Camden,Entire home/apt,House,2.0,1,4,223.98,5,232,4.5,355,8,f
1736,Lovely Townhouse in Camden,Camden,Entire home/apt,Villa,1.0,2,2,271.06,3,264,3.5,138,5,t
1737,Lovely Loft in Greenwich,Greenwich,Private room,Loft,4.0,1,8,124.39,5,19,4.5,167,6,f
1738,Lovely Loft in Kensington & Chelsea,Kensington & Chelsea,Private room,Apartment,3.0,1,6,126.61,1,127,3.9,293,7,f
1739,Lovely Townhouse in Camden,Camden,Entire home/apt,Apartment,2.0,1,4,153.93,3,140,4.8,62,5,f
1740,Lovely Loft in Islington,Islington,Entire home/apt,Cottage,1.0,1,2,184.11,5,93,3.8,358,7,t
1741,Lovely Cottage in Southwark,Southwark,Entire home/apt,Apartment,1.0,1,2,174.31,3,188,4.2,303,10,f
1742,Lovely House in Islington,Islington,Entire home/apt,Loft,4.0,1,8,220.64,2,133,3.5,271,9,t
1743,Lovely Loft in Wandsworth,Wandsworth,Entire home/apt,Villa,3.0,2,6,205.41,3,234,4.8,347,7,f
1744,Lovely Studio in Westminster,Westminster,Private room,House,1.0,1,2,155.7,2,285,4.4,41,4,f
1745,Lovely Loft in Lambeth,Lambeth,Private room,Villa,2.0,1,4,82.99,7,44,4.4,191,9,f
1746,Lovely Studio in Camden,Camden,Hotel room,Loft,3.0,3,6,230.33,3,82,4.6,220,3,f
1747,Lovely House in Tower Hamlets,Tower Hamlets,Entire home/apt,Townhouse,4.0,1,8,215.24,1,13,4.2,186,6,f
1748,Lovely Studio in Camden,Camden,Hotel room,Apartment,3.0,2,6,251.64,1,89,3.6,196,6,f
1749,Lovely Townhouse in Greenwich,Greenwich,Entire home/apt,Villa,1.0,1,2,127.19,3,50,4.5,7,7,f
1750,Lovely Townhouse in Lambeth,Lambeth,Entire home/apt,Villa,1.0,1,2,150.04,3,254,4.5,44,9,f
1751,Lovely Townhouse in Wandsworth,Wandsworth,Entire home/apt,Apartment,2.0,1,4,168.53,3,141,4.8,54,8,f
1752,Lovely Townhouse in Lambeth,Lambeth,Entire home/apt,Cottage,2.0,1,4,144.2,7,96,3.8,181,7,f
1753,Lovely Villa in Tower Hamlets,Tower Hamlets,Entire home/apt,Apartment,2.0,1,4,232.67,5,114,3.5,302,3,f
1754,Lovely House in Wandsworth,Wandsworth,Entire home/apt,Loft,1.0,1,2,236.91,1,199,4.3,60,8,t
1755,Lovely Townhouse in Lambeth,Lambeth,Shared room,Villa,4.0,1,8,100.97,7,161,5.0,245,7,t
1756,Lovely House in Southwark,Southwark,Entire home/apt,Studio,2.0,3,4,254.98,3,124,4.9,169,5,t
1757,Lovely House in Wandsworth,Wandsworth,Entire home/apt,House,1.0,1,2,177.03,1,178,4.2,3,9,f
1758,Lovely House in Tower Hamlets,Tower Hamlets,Private room,Townhouse,4.0,1,8,,1,42,4.7,323,3,f
1759,Lovely Loft in Kensington & Chelsea,Kensington & Chelsea,Private room,Townhouse,2.0,2,4,210.67,2,285,4.8,220,10,t
1760,Lovely Studio in Westminster,Westminster,Entire home/apt,Townhouse,2.0,2,4,150.43,5,14,4.0,308,6,f
1761,Lovely Apartment in Wandsworth,Wandsworth,Private room,Loft,4.0,1,8,135.49,2,134,3.6,254,6,f
1762,Lovely Loft in Camden,Camden,Hotel room,House,1.0,1,2,212.39,1,107,4.0,130,6,f
1763,Lovely Villa in Westminster,Westminster,Private room,Loft,1.0,2,2,91.82,3,104,4.3,44,9,f
1764,Lovely Townhouse in Tower Hamlets,Tower Hamlets,Entire home/apt,Villa,1.0,1,2,162.42,1,281,4.2,216,4,f
1765,Lovely Villa in Wandsworth,Wandsworth,Entire home/apt,Villa,1.0,1,2,224.52,7,86,4.9,26,3,f
1766,Lovely Loft in Tower Hamlets,Tower Hamlets,Entire home/apt,House,3.0,1,6,216.27,5,258,4.8,88,6,f
1767,Lovely Studio in Islington,Islington,Entire home/apt,House,2.0,1,4,252.02,2,165,4.1,110,8,f
1768,Lovely Townhouse in Lambeth,Lambeth,Entire home/apt,Apartment,1.0,1,2,215.85,3,97,4.0,139,10,f
1769,Lovely House in Camden,Camden,Hotel room,Cottage,2.0,1,4,175.77,2,280,4.2,274,10,t
1770,Lovely House in Hackney,Hackney,Shared room,Villa,5.0,1,10,138.26,1,28,3.8,25,9,t
1771,Lovely Townhouse in Hackney,Hackney,Entire home/apt,Loft,1.0,1,2,146.68,7,30,3.7,42,6,t
1772,Lovely Loft in Westminster,Westminster,Entire home/apt,House,2.0,1,4,235.55,3,100,4.4,129,3,t
1773,Lovely Villa in Greenwich,Greenwich,Entire home/apt,Villa,1.0,1,2,87.4,1,199,4.2,213,5,f
1774,Lovely Cottage in Southwark,Southwark,Entire home/apt,Studio,3.0,2,6,201.36,5,59,4.6,32,10,t
1775,Lovely Apartment in Tower Hamlets,Tower Hamlets,Shared room,Apartment,3.0,2,6,99.86,1,286,4.6,151,8,f
1776,Lovely Apartment in Lambeth,Lambeth,Private room,Studio,2.0,3,4,125.33,1,70,4.2,212,4,f
1777,Lovely Villa in Camden,Camden,Entire home/apt,Apartment,2.0,1,4,169.0,1,114,3.5,53,3,f
1778,Lovely Loft in Hackney,Hackney,Entire home/apt,Townhouse,3.0,1,6,203.24,5,46,3.7,234,8,f
1779,Lovely Townhouse in Westminster,Westminster,Entire home/apt,Villa,1.0,1,2,251.76,1,46,3.9,345,9,t
1780,Lovely Cottage in Lambeth,Lambeth,Private room,Studio,1.0,2,2,84.57,2,115,4.0,278,7,f
1781,Lovely Loft in Camden,Camden,Entire home/apt,House,1.0,1,2,144.18,2,15,3.6,209,8,t
1782,Lovely Villa in Camden,Camden,Entire home/apt,Villa,1.0,1,2,268.46,5,109,4.6,295,6,t
1783,Lovely Studio in Islington,Islington,Entire home/apt,Townhouse,3.0,1,6,165.29,1,288,3.9,213,6,f
1784,Lovely Villa in Lambeth,Lambeth,Entire home/apt,Apartment,4.0,1,8,251.16,3,202,4.1,331,7,f
1785,Lovely Loft in Southwark,Southwark,Entire home/apt,Villa,4.0,1,8,183.55,1,103,4.9,193,3,t
1786,Lovely Apartment in Kensington & Chelsea,Kensington & Chelsea,Entire home/apt,Villa,2.0,3,4,281.02,2,31,3.6,144,7,f
1787,Lovely Villa in Lambeth,Lambeth,Entire home/apt,Loft,1.0,1,2,,1,232,4.2,13,5,f
1788,Lovely Studio in Lambeth,Lambeth,Private room,House,2.0,1,4,110.0,1,174,3.6,314,9,f
1789,Lovely Townhouse in Westminster,Westminster,Shared room,Loft,4.0,3,8,179.75,1,15,4.0,195,10,f
1790,Lovely Cottage in Lambeth,Lambeth,Entire home/apt,Townhouse,1.0,1,2,205.8,2,199,4.4,140,9,f
1791,Lovely House in Hackney,Hackney,Private room,Townhouse,2.0,2,4,106.7,5,29,4.5,269,6,f
1792,Lovely Loft in Lambeth,Lambeth,Private room,Apartment,1.0,3,2,86.22,1,267,4.2,292,5,f
1793,Lovely Loft in Wandsworth,Wandsworth,Entire home/apt,Townhouse,2.0,1,4,200.15,1,133,4.8,62,8,t
1794,Lovely Townhouse in Kensington & Chelsea,Kensington & Chelsea,Private room,Loft,1.0,2,2,189.24,2,103,4.0,21,6,f
1795,Lovely Loft in Islington,Islington,Entire home/apt,House,3.0,3,6,159.55,3,83,3.9,132,8,t
1796,Lovely Apartment in Greenwich,Greenwich,Private room,Apartment,1.0,1,2,101.09,3,200,4.5,136,7,f
1797,Lovely Loft in Southwark,Southwark,Entire home/apt,Loft,2.0,2,4,178.78,3,270,3.9,76,8,f
1798,Lovely Villa in Wandsworth,Wandsworth,Private room,Studio,2.0,1,4,88.41,7,255,4.1,305,9,f
1799,Lovely Cottage in Camden,Camden,Entire home/apt,Apartment,1.0,1,2,212.39,2,271,3.6,33,7,f
1800,Lovely Apartment in Westminster,Westminster,Entire home/apt,Apartment,1.0,1,2,336.92,3,160,3.9,268,8,t
1801,Lovely Studio in Southwark,Southwark,Entire home/apt,House,3.0,1,6,228.64,5,137,3.9,225,5,f
1802,Lovely Apartment in Southwark,Southwark,Entire home/apt,Cottage,1.0,1,2,152.98,2,25,3.9,236,5,f
1803,Lovely House in Southwark,Southwark,Private room,Cottage,3.0,1,6,108.93,3,223,3.7,355,7,f
1804,Lovely Cottage in Lambeth,Lambeth,Private room,House,2.0,1,4,98.3,7,167,4.4,61,3,f
1805,Lovely Loft in Camden,Camden,Shared room,Townhouse,4.0,2,8,80.61,2,79,4.3,289,9,f
1806,Lovely Townhouse in Tower Hamlets,Tower Hamlets,Entire home/apt,Townhouse,2.0,2,4,227.08,7,289,4.7,140,9,f
1807,Lovely Loft in Kensington & Chelsea,Kensington & Chelsea,Private room,House,2.0,2,4,174.62,1,117,5.0,151,10,f
1808,Lovely Villa in Tower Hamlets,Tower Hamlets,Private room,Loft,1.0,1,2,74.25,1,149,4.1,166,10,f
1809,Lovely Townhouse in Southwark,Southwark,Entire home/apt,Townhouse,4.0,2,8,241.81,2,68,4.2,320,6,f
1810,Lovely Villa in Lambeth,Lambeth,Private room,Villa,5.0,3,10,171.1,3,107,3.9,159,7,f
1811,Lovely House in Greenwich,Greenwich,Private room,Villa,2.0,3,4,126.24,3,208,3.9,170,7,f
1812,Lovely House in Kensington & Chelsea,Kensington & Chelsea,Private room,House,1.0,3,2,262.77,1,201,3.8,101,7,f
1813,Lovely Studio in Wandsworth,Wandsworth,Entire home/apt,Cottage,3.0,2,6,163.54,7,235,4.5,260,6,f
1814,Lovely Studio in Tower Hamlets,Tower Hamlets,Private room,Cottage,1.0,3,2,91.39,1,205,4.1,106,6,f
1815,Lovely Townhouse in Tower Hamlets,Tower Hamlets,Entire home/apt,Studio,2.0,1,4,235.56,7,61,3.6,2,7,f
1816,Lovely Apartment in Wandsworth,Wandsworth,Entire home/apt,Cottage,2.0,2,4,296.23,7,119,4.6,46,7,f
1817,Lovely House in Hackney,Hackney,Private room,Townhouse,2.0,1,4,97.18,5,247,4.6,291,6,f
1818,Lovely Villa in Camden,Camden,Entire home/apt,Cottage,1.0,2,2,155.61,3,85,4.7,354,6,f
1819,Lovely Loft in Southwark,Southwark,Entire home/apt,Villa,4.0,2,8,276.66,2,108,4.5,267,4,f
1820,Lovely Studio in Wandsworth,Wandsworth,Entire home/apt,Villa,1.0,2,2,289.4,3,150,4.2,351,4,f
1821,Lovely Cottage in Tower Hamlets,Tower Hamlets,Entire home/apt,Villa,1.0,2,2,167.75,1,46,4.6,13,7,f
1822,Lovely Villa in Lambeth,Lambeth,Entire home/apt,Studio,3.0,2,6,136.14,7,29,4.0,359,6,t
1823,Lovely Cottage in Islington,Islington,Private room,House,2.0,1,4,144.5,1,119,4.7,71,10,f
1824,Lovely Loft in Islington,Islington,Entire home/apt,Villa,3.0,3,6,325.99,5,47,4.3,37,9,f
1825,Lovely Cottage in Wandsworth,Wandsworth,Shared room,Villa,3.0,2,6,136.62,2,3,4.7,276,4,f
1826,Lovely Studio in Southwark,Southwark,Shared room,Studio,4.0,2,8,124.01,2,35,4.7,100,7,t
1827,Lovely House in Greenwich,Greenwich,Entire home/apt,Loft,4.0,1,8,208.62,3,67,3.9,234,8,f
1828,Lovely Cottage in Westminster,Westminster,Shared room,House,1.0,1,2,183.34,2,90,4.8,117,4,f
1829,Lovely Apartment in Southwark,Southwark,Private room,Cottage,1.0,3,2,101.81,1,206,4.5,351,10,t
1830,Lovely House in Southwark,Southwark,Entire home/apt,Studio,2.0,2,4,247.89,3,88,4.2,128,5,f
1831,Lovely Studio in Southwark,Southwark,Private room,Loft,1.0,1,2,104.08,1,54,3.8,249,6,f
1832,Lovely Townhouse in Islington,Islington,Private room,House,2.0,1,4,222.03,5,251,3.6,105,4,f
1833,Lovely House in Islington,Islington,Entire home/apt,Cottage,1.0,2,2,186.39,1,7,4.2,48,6,t
1834,Lovely Cottage in Wandsworth,Wandsworth,Private room,House,1.0,1,2,165.46,2,6,4.9,212,5,f
1835,Lovely Studio in Tower Hamlets,Tower Hamlets,Private room,House,1.0,2,2,56.13,1,248,4.6,258,8,f
1836,Lovely Apartment in Westminster,Westminster,Entire home/apt,Loft,1.0,1,2,103.13,5,229,3.6,134,8,f
1837,Lovely Villa in Camden,Camden,Private room,Apartment,1.0,2,2,25.87,5,132,3.8,58,4,f
1838,Lovely Apartment in Greenwich,Greenwich,Entire home/apt,Cottage,1.0,3,2,195.08,3,56,4.5,339,8,t
1839,Lovely House in Southwark,Southwark,Entire home/apt,Cottage,2.0,1,4,262.9,1,190,3.9,291,9,f
1840,Lovely Cottage in Southwark,Southwark,Entire home/apt,Studio,1.0,2,2,280.58,3,59,4.5,30,9,t
1841,Lovely Villa in Greenwich,Greenwich,Entire home/apt,Cottage,3.0,1,6,112.63,3,131,3.9,229,8,f
1842,Lovely House in Tower Hamlets,Tower Hamlets,Hotel room,Apartment,4.0,1,8,199.82,5,174,4.5,162,6,t
1843,Lovely Villa in Westminster,Westminster,Entire home/apt,Cottage,2.0,1,4,321.66,3,275,3.6,357,7,f
1844,Lovely Apartment in Islington,Islington,Entire home/apt,Cottage,2.0,1,4,222.02,7,53,4.3,6,6,t
1845,Lovely Studio in Westminster,Westminster,Entire home/apt,Loft,1.0,1,2,340.43,2,76,3.7,303,4,f
1846,Lovely Loft in Southwark,Southwark,Entire home/apt,Cottage,1.0,2,2,257.14,5,90,3.9,155,4,t
1847,Lovely Villa in Wandsworth,Wandsworth,Shared room,Townhouse,1.0,3,2,57.75,3,156,4.8,303,10,f
1848,Lovely Cottage in Camden,Camden,Entire home/apt,Townhouse,1.0,2,2,197.66,2,253,,105,9,f
1849,Lovely Cottage in Camden,Camden,Entire home/apt,House,4.0,2,8,341.8,5,285,4.9,7,7,f
1850,Lovely House in Tower Hamlets,Tower Hamlets,Private room,Apartment,3.0,1,6,123.86,1,167,4.2,257,9,t
1851,Lovely Apartment in Southwark,Southwark,Entire home/apt,Studio,3.0,2,6,240.25,1,9,3.7,17,8,f
1852,Lovely Villa in Lambeth,Lambeth,Entire home/apt,House,2.0,2,4,114.6,2,108,4.3,236,10,t
1853,Lovely Townhouse in Greenwich,Greenwich,Entire home/apt,Cottage,1.0,1,2,130.12,2,75,3.5,334,9,f
1854,Lovely Townhouse in Camden,Camden,Entire home/apt,Studio,1.0,2,2,241.55,7,44,3.9,336,6,f
1855,Lovely Studio in Southwark,Southwark,Entire home/apt,Studio,4.0,1,8,231.68,3,93,3.6,336,10,t
1856,Lovely Cottage in Lambeth,Lambeth,Entire home/apt,Studio,2.0,1,4,207.86,7,44,3.9,177,5,f
1857,Lovely Townhouse in Lambeth,Lambeth,Entire home/apt,Cottage,1.0,1,2,171.19,1,261,3.7,278,9,f
1858,Lovely House in Greenwich,Greenwich,Private room,Villa,4.0,1,8,167.85,3,251,4.9,329,5,f
1859,Lovely Villa in Camden,Camden,Entire home/apt,Cottage,1.0,2,2,270.85,3,43,3.8,281,6,f
1860,Lovely Townhouse in Hackney,Hackney,Private room,Cottage,4.0,1,8,61.17,1,70,4.2,275,9,t
1861,Lovely House in Camden,Camden,Entire home/apt,Villa,1.0,1,2,117.62,2,89,3.9,2,5,f
1862,Lovely Studio in Hackney,Hackney,Private room,Cottage,2.0,2,4,55.17,2,115,4.6,45,5,f
1863,Lovely Cottage in Greenwich,Greenwich,Entire home/apt,Studio,1.0,1,2,143.56,1,229,4.1,355,4,f
1864,Lovely House in Greenwich,Greenwich,Private room,Villa,3.0,1,6,20.0,1,251,4.7,355,3,t
1865,Lovely Studio in Camden,Camden,Private room,Villa,1.0,2,2,212.41,5,274,4.4,37,9,t
1866,Lovely Cottage in Wandsworth,Wandsworth,Private room,House,2.0,1,4,118.69,1,204,4.9,226,6,f
1867,Lovely Townhouse in Camden,Camden,Entire home/apt,Apartment,1.0,1,2,243.9,7,256,3.6,40,3,f
1868,Lovely House in Lambeth,Lambeth,Private room,Apartment,3.0,3,6,120.08,1,71,4.6,119,5,f
1869,Lovely Loft in Kensington & Chelsea,Kensington & Chelsea,Entire home/apt,House,5.0,1,10,434.81,5,208,4.9,26,3,t
1870,Lovely Loft in Westminster,Westminster,Entire home/apt,Villa,1.0,1,2,294.99,5,31,,248,8,f
1871,Lovely Townhouse in Camden,Camden,Shared room,Townhouse,3.0,1,6,154.36,3,131,4.2,195,3,t
1872,Lovely Townhouse in Wandsworth,Wandsworth,Entire home/apt,Townhouse,3.0,1,6,229.82,3,26,3.9,66,7,f
1873,Lovely Apartment in Greenwich,Greenwich,Entire home/apt,House,2.0,2,4,108.3,2,245,3.8,102,5,f
1874,Lovely Studio in Tower Hamlets,Tower Hamlets,Hotel room,Townhouse,1.0,1,2,202.49,7,85,3.7,105,10,f
1875,Lovely Loft in Westminster,Westminster,Private room,Townhouse,1.0,2,2,144.75,5,184,4.3,78,9,f
1876,Lovely Townhouse in Kensington & Chelsea,Kensington & Chelsea,Private room,Apartment,1.0,1,2,242.31,3,261,4.7,36,8,t
1877,Lovely House in Lambeth,Lambeth,Private room,Villa,1.0,2,2,138.97,2,287,3.8,33,6,f
1878,Lovely Townhouse in Southwark,Southwark,Shared room,Cottage,1.0,2,2,22.46,1,30,4.7,273,9,f
1879,Lovely Villa in Kensington & Chelsea,Kensington & Chelsea,Private room,Studio,1.0,2,2,125.6,2,281,4.7,121,7,f
1880,Lovely Apartment in Southwark,Southwark,Hotel room,Villa,4.0,2,8,268.54,5,83,4.1,157,9,f
1881,Lovely Apartment in Kensington & Chelsea,Kensington & Chelsea,Entire home/apt,Cottage,4.0,1,8,359.03,3,14,4.2,346,10,t
1882,Lovely House in Kensington & Chelsea,Kensington & Chelsea,Hotel room,Townhouse,3.0,2,6,311.79,7,107,4.4,217,9,f
1883,Lovely House in Islington,Islington,Private room,Loft,2.0,1,4,74.75,2,287,3.5,248,6,f
1884,Lovely Cottage in Greenwich,Greenwich,Entire home/apt,Townhouse,1.0,2,2,143.65,3,211,4.0,307,4,f
1885,Lovely Villa in Kensington & Chelsea,Kensington & Chelsea,Private room,Cottage,2.0,1,4,88.17,2,27,4.3,201,7,f
1886,Lovely Townhouse in Kensington & Chelsea,Kensington & Chelsea,Shared room,Townhouse,3.0,2,6,151.64,3,34,4.1,279,8,f
1887,Lovely Studio in Southwark,Southwark,Shared room,Villa,4.0,1,8,78.45,7,174,3.9,28,10,f
1888,Lovely Loft in Westminster,Westminster,Private room,House,4.0,3,8,171.89,1,188,3.8,13,9,f
1889,Lovely Villa in Camden,Camden,Private room,Studio,1.0,2,2,121.08,1,43,3.6,286,3,t
1890,Lovely Townhouse in Southwark,Southwark,Private room,House,2.0,3,4,137.72,1,135,4.9,360,6,f
1891,Lovely Cottage in Southwark,Southwark,Entire home/apt,Villa,2.0,3,4,254.46,7,257,4.8,107,3,t
1892,Lovely Apartment in Greenwich,Greenwich,Private room,Cottage,2.0,1,4,70.79,2,38,4.6,132,6,f
1893,Lovely Loft in Hackney,Hackney,Entire home/apt,Townhouse,,1,4,133.08,3,239,4.7,71,5,f
1894,Lovely Villa in Southwark,Southwark,Private room,Villa,3.0,2,6,93.15,2,146,5.0,341,4,t
1895,Lovely Townhouse in Islington,Islington,Entire home/apt,Townhouse,2.0,1,4,338.66,1,224,4.9,205,10,t
1896,Lovely Loft in Westminster,Westminster,Entire home/apt,Loft,3.0,1,6,358.28,5,295,4.0,365,10,f
1897,Lovely Villa in Greenwich,Greenwich,Entire home/apt,Villa,1.0,1,2,72.68,2,209,5.0,22,4,f
1898,Lovely Apartment in Camden,Camden,Private room,Villa,2.0,1,4,106.86,1,221,4.6,240,5,t
1899,Lovely House in Southwark,Southwark,Shared room,Apartment,5.0,1,10,80.42,2,1,3.9,40,9,t
1900,Lovely Cottage in Hackney,Hackney,Private room,Villa,3.0,2,6,179.75,7,158,4.3,196,4,f
1901,Lovely Villa in Hackney,Hackney,Private room,Loft,3.0,1,6,101.42,2,280,4.8,27,7,f
1902,Lovely Studio in Southwark,Southwark,Entire home/apt,Townhouse,4.0,2,8,258.1,3,139,4.1,78,8,f
1903,Lovely House in Lambeth,Lambeth,Entire home/apt,Studio,2.0,1,4,253.17,2,197,4.1,363,5,f
1904,Lovely Apartment in Southwark,Southwark,Private room,Cottage,2.0,2,4,67.66,3,35,3.5,64,3,t
1905,Lovely Studio in Lambeth,Lambeth,Entire home/apt,Loft,2.0,2,4,184.81,5,84,4.5,111,9,t
1906,Lovely Apartment in Wandsworth,Wandsworth,Private room,Villa,2.0,2,4,44.11,3,252,4.4,262,9,f
1907,Lovely Cottage in Islington,Islington,Private room,Cottage,2.0,1,4,80.2,5,28,3.6,284,9,f
1908,Lovely Studio in Westminster,Westminster,Private room,Townhouse,1.0,1,2,93.43,2,179,4.1,300,10,t
1909,Lovely Apartment in Kensington & Chelsea,Kensington & Chelsea,Entire home/apt,Townhouse,1.0,1,2,443.98,1,105,3.8,201,6,f
1910,Lovely Loft in Wandsworth,Wandsworth,Entire home/apt,Apartment,2.0,1,4,164.92,1,244,4.7,311,4,f
1911,Lovely Studio in Islington,Islington,Entire home/apt,House,2.0,2,4,296.09,5,44,4.9,132,8,f
1912,Lovely Townhouse in Greenwich,Greenwich,Private room,Apartment,1.0,2,2,62.99,3,239,4.1,76,9,f
1913,Lovely Villa in Lambeth,Lambeth,Entire home/apt,House,1.0,2,2,172.44,5,86,4.3,246,8,f
1914,Lovely Cottage in Southwark,Southwark,Entire home/apt,Villa,3.0,2,6,265.88,1,285,5.0,306,4,t
1915,Lovely Loft in Greenwich,Greenwich,Entire home/apt,Cottage,1.0,3,2,146.7,3,47,3.6,22,10,f
1916,Lovely House in Tower Hamlets,Tower Hamlets,Entire home/apt,Apartment,5.0,1,10,266.6,1,121,5.0,243,4,f
1917,Lovely House in Greenwich,Greenwich,Entire home/apt,Villa,1.0,1,2,128.27,7,107,4.7,56,4,f
1918,Lovely Loft in Westminster,Westminster,Entire home/apt,Apartment,2.0,3,4,205.04,3,269,4.2,167,10,f
1919,Lovely Villa in Wandsworth,Wandsworth,Entire home/apt,Loft,3.0,1,6,197.73,1,293,3.7,254,9,f
1920,Lovely Loft in Wandsworth,Wandsworth,Entire home/apt,House,1.0,1,2,234.59,5,98,3.8,257,7,f
1921,Lovely House in Greenwich,Greenwich,Entire home/apt,Cottage,4.0,2,8,198.23,2,125,3.7,225,7,f
1922,Lovely Studio in Wandsworth,Wandsworth,Entire home/apt,Studio,2.0,2,4,244.43,3,224,5.0,330,3,t
1923,Lovely Cottage in Islington,Islington,Private room,House,1.0,1,2,67.08,2,168,4.7,22,6,f
1924,Lovely Studio in Southwark,Southwark,Entire home/apt,Studio,2.0,2,4,184.23,5,253,4.8,259,6,f
1925,Lovely House in Hackney,Hackney,Private room,Studio,5.0,2,10,117.04,1,156,4.9,188,8,f
1926,Lovely Villa in Southwark,Southwark,Private room,Apartment,1.0,1,2,160.55,1,282,3.9,341,3,f
1927,Lovely Cottage in Islington,Islington,Entire home/apt,Apartment,4.0,1,8,282.59,2,73,4.2,141,7,t
1928,Lovely Townhouse in Lambeth,Lambeth,Shared room,Studio,1.0,1,2,20.0,2,110,3.8,49,10,f
1929,Lovely Studio in Lambeth,Lambeth,Private room,Apartment,1.0,1,2,20.0,3,80,4.0,156,5,f
1930,Lovely House in Tower Hamlets,Tower Hamlets,Entire home/apt,House,3.0,1,6,202.18,1,169,4.7,211,7,f
1931,Lovely Cottage in Camden,Camden,Private room,Apartment,1.0,1,2,,5,172,4.2,207,9,t
1932,Lovely Apartment in Islington,Islington,Private room,Loft,1.0,2,2,81.46,5,166,4.0,172,7,f
1933,Lovely Studio in Lambeth,Lambeth,Private room,Cottage,5.0,1,10,138.8,5,84,4.1,37,4,f
1934,Lovely Apartment in Southwark,Southwark,Private room,Studio,1.0,1,2,,7,229,4.1,315,3,t
1935,Lovely Townhouse in Hackney,Hackney,Entire home/apt,Townhouse,1.0,1,2,105.65,2,254,4.9,317,9,t
1936,Lovely House in Islington,Islington,Entire home/apt,Loft,1.0,2,2,223.61,1,288,4.0,350,10,t
1937,Lovely House in Southwark,Southwark,Entire home/apt,Villa,5.0,1,10,209.29,2,190,4.2,97,10,f
1938,Lovely Townhouse in Tower Hamlets,Tower Hamlets,Entire home/apt,Apartment,2.0,2,4,161.72,2,235,3.7,7,6,f
1939,Lovely Studio in Westminster,Westminster,Private room,Cottage,2.0,1,4,178.58,2,37,3.8,200,9,f
1940,Lovely House in Southwark,Southwark,Entire home/apt,Apartment,2.0,1,4,189.41,3,35,4.3,332,4,f
1941,Lovely Apartment in Kensington & Chelsea,Kensington & Chelsea,Entire home/apt,Cottage,5.0,1,10,380.74,3,269,4.8,91,7,f
1942,Lovely Loft in Lambeth,Lambeth,Entire home/apt,Townhouse,4.0,3,8,228.49,2,195,3.5,272,4,f
1943,Lovely Loft in Southwark,Southwark,Entire home/apt,Apartment,2.0,1,4,150.53,2,255,4.1,154,10,f
1944,Lovely Loft in Hackney,Hackney,Entire home/apt,Villa,2.0,2,4,124.5,1,199,3.9,40,4,f
1945,Lovely Loft in Wandsworth,Wandsworth,Hotel room,Loft,2.0,3,4,85.47,2,122,4.0,233,3,f
1946,Lovely Studio in Greenwich,Greenwich,Private room,Apartment,3.0,2,6,142.65,3,205,4.2,201,7,t
1947,Lovely Townhouse in Wandsworth,Wandsworth,Entire home/apt,Loft,2.0,1,4,185.67,3,80,3.8,295,5,f
1948,Lovely House in Wandsworth,Wandsworth,Entire home/apt,Villa,1.0,1,2,254.05,1,240,4.2,145,8,f
1949,Lovely Loft in Southwark,Southwark,Entire home/apt,Villa,1.0,1,2,193.99,2,102,4.8,35,10,f
1950,Lovely Studio in Westminster,Westminster,Entire home/apt,Apartment,1.0,1,2,315.64,1,146,4.4,346,4,f
1951,Lovely Cottage in Kensington & Chelsea,Kensington & Chelsea,Private room,Loft,5.0,1,10,140.9,5,205,4.9,122,6,f
1952,Lovely Townhouse in Lambeth,Lambeth,Entire home/apt,Studio,5.0,1,10,252.82,5,143,4.8,268,6,f
1953,Lovely Townhouse in Hackney,Hackney,Entire home/apt,Apartment,1.0,1,2,192.43,2,263,3.6,255,10,f
1954,Lovely Villa in Greenwich,Greenwich,Private room,Studio,2.0,1,4,99.32,2,285,3.5,272,7,t
1955,Lovely House in Tower Hamlets,Tower Hamlets,Entire home/apt,House,3.0,1,6,138.8,3,146,3.9,248,3,f
1956,Lovely Loft in Tower Hamlets,Tower Hamlets,Entire home/apt,Cottage,1.0,1,2,222.57,2,261,4.5,45,7,f
1957,Lovely Townhouse in Camden,Camden,Entire home/apt,Apartment,1.0,2,2,168.27,2,173,3.8,324,5,f
1958,Lovely Apartment in Westminster,Westminster,Entire home/apt,Villa,,1,2,362.31,2,102,3.5,69,7,f
